,id,total_cases
395,395,11139516.0
396,396,11156923.0
397,397,11173761.0
398,398,11192045.0
399,399,11210799.0
400,400,11229398.0
401,401,11244786.0
402,402,11262707.0
403,403,11285561.0
404,404,11308846.0
405,405,11333728.0
406,406,11359048.0
407,407,11385339.0
408,408,11409831.0
409,409,11438734.0
410,410,11474605.0
411,411,11514331.0
412,412,11555284.0
413,413,11599130.0
414,414,11646081.0
415,415,11686796.0
416,416,11734058.0
417,417,11787534.0
418,418,11846652.0
419,419,11908910.0
420,420,11971624.0
421,421,12039644.0
422,422,12095855.0
423,423,12149335.0
424,424,12221665.0
425,425,12303131.0
426,426,12392260.0
427,427,12485509.0
428,428,12589067.0
429,429,12686049.0
430,430,12801785.0
431,431,12928574.0
432,432,13060542.0
433,433,13205926.0
434,434,13358805.0
435,435,13527717.0
436,436,13689453.0
437,437,13873825.0
438,438,14074564.0
439,439,14291917.0
440,440,14526609.0
441,441,14788003.0
442,442,15061805.0
443,443,15320972.0
444,444,15616130.0
445,445,15930774.0
446,446,16263695.0
447,447,16610481.0
448,448,16960172.0
449,449,17313163.0
450,450,17636186.0
451,451,17997113.0
452,452,18376421.0
453,453,18762976.0
454,454,19164969.0
455,455,19557457.0
456,456,19925517.0
457,457,20282833.0
458,458,20664979.0
459,459,21077410.0
460,460,21491598.0
461,461,21892676.0
462,462,22296081.0
463,463,22662575.0
464,464,22992517.0
465,465,23340938.0
466,466,23703665.0
467,467,24046809.0
468,468,24372907.0
469,469,24684077.0
470,470,24965463.0
471,471,25228996.0
472,472,25496330.0
473,473,25772440.0
474,474,26031991.0
475,475,26289290.0
476,476,26530132.0
477,477,26752447.0
478,478,26948874.0
479,479,27157795.0
480,480,27369093.0
481,481,27555457.0
482,482,27729247.0
483,483,27894800.0
484,484,28047534.0
485,485,28175044.0
486,486,28307832.0
487,487,28441986.0
488,488,28574350.0
489,489,28694879.0
490,490,28809339.0
491,491,28909975.0
492,492,28996473.0
493,493,29089069.0
494,494,29182532.0
495,495,29274823.0
496,496,29359155.0
497,497,29439989.0
498,498,29510410.0
499,499,29570881.0
500,500,29633105.0
501,501,29700313.0
502,502,29762793.0
503,503,29823546.0
504,504,29881772.0
505,505,29935221.0
506,506,29977861.0
507,507,30028709.0
508,508,30082778.0
509,509,30134445.0
510,510,30183143.0
511,511,30233183.0
512,512,30279331.0
513,513,30316897.0
514,514,30362848.0
515,515,30411634.0
516,516,30458251.0
517,517,30502362.0
518,518,30545433.0
519,519,30585229.0
520,520,30619932.0
521,521,30663665.0
522,522,30709557.0
523,523,30752950.0
524,524,30795716.0
525,525,30837222.0
526,526,30874376.0
527,527,30907282.0
528,528,30946147.0
529,529,30987880.0
530,530,31026829.0
531,531,31064908.0
532,532,31106065.0
533,533,31144229.0
534,534,31174322.0
535,535,31216337.0
536,536,31257720.0
537,537,31293062.0
538,538,31332159.0
539,539,31371901.0
540,540,31411262.0
541,541,31440951.0
542,542,31484605.0
543,543,31528114.0
544,544,31572344.0
545,545,31613993.0
546,546,31655824.0
547,547,31695958.0
548,548,31726507.0
549,549,31769132.0
550,550,31812114.0
551,551,31856757.0
552,552,31895385.0
553,553,31934455.0
554,554,31969954.0
555,555,31998158.0
556,556,32036511.0
557,557,32077706.0
558,558,32117826.0
559,559,32156493.0
560,560,32192576.0
561,561,32225513.0
562,562,32250679.0
563,563,32285857.0
564,564,32322258.0
565,565,32358829.0
566,566,32393286.0
567,567,32424234.0
568,568,32449306.0
569,569,32474773.0
570,570,32512366.0
571,571,32558530.0
572,572,32603188.0
573,573,32649947.0
574,574,32695030.0
575,575,32737939.0
576,576,32768880.0
577,577,32810845.0
578,578,32857937.0
579,579,32903289.0
580,580,32945907.0
581,581,32988673.0
582,582,33027621.0
583,583,33058843.0
584,584,33096718.0
585,585,33139981.0
586,586,33174954.0
587,587,33208330.0
588,588,33236921.0
589,589,33264175.0
590,590,33289579.0
591,591,33316755.0
592,592,33347325.0
593,593,33381728.0
594,594,33417390.0
595,595,33448163.0
596,596,33478419.0
597,597,33504534.0
598,598,33531498.0
599,599,33563421.0
600,600,33594803.0
601,601,33624419.0
602,602,33652745.0
603,603,33678786.0
604,604,33697581.0
605,605,33716451.0
606,606,33739980.0
607,607,33766707.0
608,608,33791061.0
609,609,33813903.0
610,610,33834702.0
611,611,33853048.0
612,612,33871881.0
613,613,33894312.0
614,614,33915569.0
615,615,33935309.0
616,616,33953475.0
617,617,33971607.0
618,618,33985920.0
619,619,34001743.0
620,620,34020730.0
621,621,34037592.0
622,622,34053573.0
623,623,34067719.0
624,624,34081315.0
625,625,34094373.0
626,626,34108996.0
627,627,34127450.0
628,628,34143236.0
629,629,34159562.0
630,630,34175468.0
631,631,34189774.0
632,632,34202202.0
633,633,34215653.0
634,634,34231809.0
635,635,34246157.0
636,636,34260470.0
637,637,34273300.0
638,638,34285814.0
639,639,34296237.0
640,640,34308140.0
641,641,34321025.0
642,642,34333754.0
643,643,34344683.0
644,644,34355509.0
645,645,34366987.0
646,646,34377113.0
647,647,34388579.0
648,648,34401670.0
649,649,34414186.0
650,650,34426036.0
651,651,34437307.0
652,652,34447536.0
653,653,34456401.0
654,654,34466598.0
655,655,34478517.0
656,656,34489623.0
657,657,34499925.0
658,658,34510413.0
659,659,34518901.0
660,660,34526480.0
661,661,34535763.0
662,662,34544882.0
663,663,34555431.0
664,664,34563749.0
665,665,34572523.0
666,666,34580832.0
667,667,34587822.0
668,668,34596776.0
669,669,34606541.0
670,670,34615757.0
671,671,34624360.0
672,672,34624360.0
673,673,34641561.0
674,674,34648383.0
675,675,34656822.0
676,676,34666241.0
677,677,34674643.0
678,678,34682633.0
679,679,34690510.0
680,680,34697860.0
681,681,34703644.0
682,682,34710628.0
683,683,34718602.0
684,684,34726049.0
685,685,34726049.0
686,686,34733194.0
687,687,34746838.0
688,688,34752164.0
689,689,34758481.0
690,690,34765976.0
691,691,34772626.0
692,692,34779815.0
693,693,34786802.0
694,694,34793333.0
695,695,34799691.0
696,696,34808886.0
697,697,34822040.0
698,698,34838804.0
699,699,34861579.0
700,700,34889132.0
701,701,34922882.0
702,702,34960261.0
703,703,35018358.0
704,704,35109286.0
705,705,35226386.0
706,706,35368372.0
707,707,35528004.0
708,708,35707727.0
709,709,35875790.0
710,710,36070510.0
711,711,36317927.0
712,712,36582129.0
713,713,36850962.0
714,714,37122164.0
715,715,37380253.0
716,716,37618271.0
717,717,37901241.0
718,718,38218773.0
719,719,38566027.0
720,720,38903731.0
